,index,Row ID,Order Date,Customer ID,Year,First Purchase,Order?,Prev Year?,Customer Classification,YoY Difference
67,350,351.0,2020-01-09,AB-10060,2020,2019,1,1.0,Consistent,0.0
68,351,352.0,2020-01-09,AB-10060,2020,2019,1,1.0,Consistent,0.0
69,352,353.0,2020-01-09,AB-10060,2020,2019,1,1.0,Consistent,0.0
70,353,354.0,2020-01-09,AB-10060,2020,2019,1,1.0,Consistent,0.0
71,1175,1176.0,2020-08-29,AB-10060,2020,2019,1,1.0,Consistent,0.0
72,2363,2364.0,2020-03-13,AB-10060,2020,2019,1,1.0,Consistent,0.0
73,2364,2365.0,2020-03-13,AB-10060,2020,2019,1,1.0,Consistent,0.0
74,2365,2366.0,2020-03-13,AB-10060,2020,2019,1,1.0,Consistent,0.0
75,3033,3034.0,2021-09-16,AB-10060,2021,2019,1,1.0,Consistent,154.0
76,5000,5001.0,2021-07-05,AB-10060,2021,2019,1,1.0,Consistent,0.0
77,8168,8169.0,2021-06-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
78,8169,8170.0,2021-06-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
79,8170,8171.0,2021-06-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
80,9497,9498.0,2021-05-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
81,9498,9499.0,2021-05-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
82,9499,9500.0,2021-05-11,AB-10060,2021,2019,1,1.0,Consistent,0.0
83,4282,4283.0,2018-12-20,AB-10105,2018,2018,1,,New,1387.0
84,4283,4284.0,2018-12-20,AB-10105,2018,2018,1,1.0,Consistent,0.0
85,9101,9102.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,-205.0
86,9102,9103.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,0.0
87,9103,9104.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,0.0
88,9104,9105.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,0.0
89,9105,9106.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,0.0
90,9106,9107.0,2019-07-11,AB-10105,2019,2018,1,1.0,Consistent,0.0
91,1409,1410.0,2020-09-25,AB-10105,2020,2018,1,1.0,Consistent,281.0
92,5613,5614.0,2020-02-02,AB-10105,2020,2018,1,1.0,Consistent,0.0
93,9039,9040.0,2020-12-17,AB-10105,2020,2018,1,1.0,Consistent,0.0
94,2551,2552.0,2021-11-19,AB-10105,2021,2018,1,1.0,Consistent,430.0
95,2552,2553.0,2021-11-19,AB-10105,2021,2018,1,1.0,Consistent,0.0
96,3911,3912.0,2021-05-06,AB-10105,2021,2018,1,1.0,Consistent,0.0
97,4714,4715.0,2021-05-18,AB-10105,2021,2018,1,1.0,Consistent,0.0
98,6970,6971.0,2021-09-19,AB-10105,2021,2018,1,1.0,Consistent,0.0
99,6971,6972.0,2021-09-19,AB-10105,2021,2018,1,1.0,Consistent,0.0
100,6972,6973.0,2021-09-19,AB-10105,2021,2018,1,1.0,Consistent,0.0
101,6973,6974.0,2021-09-19,AB-10105,2021,2018,1,1.0,Consistent,0.0
102,9207,9208.0,2021-03-08,AB-10105,2021,2018,1,1.0,Consistent,0.0
103,8496,8497.0,2018-05-03,AB-10150,2018,2018,1,,New,-506.0
104,8497,8498.0,2018-05-03,AB-10150,2018,2018,1,1.0,Consistent,0.0
105,8498,8499.0,2018-05-03,AB-10150,2018,2018,1,1.0,Consistent,0.0
106,8499,8500.0,2018-05-03,AB-10150,2018,2018,1,1.0,Consistent,0.0
107,8500,8501.0,2018-05-03,AB-10150,2018,2018,1,1.0,Consistent,0.0
108,2630,2631.0,2019-10-09,AB-10150,2019,2018,1,1.0,Consistent,-205.0
109,5113,5114.0,2020-01-31,AB-10150,2020,2018,1,1.0,Consistent,281.0
110,1555,1556.0,2021-04-09,AB-10150,2021,2018,1,1.0,Consistent,430.0
111,1597,1598.0,2021-11-19,AB-10150,2021,2018,1,1.0,Consistent,0.0
112,1598,1599.0,2021-11-19,AB-10150,2021,2018,1,1.0,Consistent,0.0
113,1599,1600.0,2021-11-19,AB-10150,2021,2018,1,1.0,Consistent,0.0
114,1600,1601.0,2021-11-19,AB-10150,2021,2018,1,1.0,Consistent,0.0
115,5303,5304.0,2018-11-16,AB-10165,2018,2018,1,,New,-506.0
116,692,693.0,2019-03-28,AB-10165,2019,2018,1,1.0,Consistent,-205.0
117,693,694.0,2019-03-28,AB-10165,2019,2018,1,1.0,Consistent,0.0
118,4314,4315.0,2019-06-25,AB-10165,2019,2018,1,1.0,Consistent,0.0
119,4315,4316.0,2019-06-25,AB-10165,2019,2018,1,1.0,Consistent,0.0
120,4316,4317.0,2019-06-25,AB-10165,2019,2018,1,1.0,Consistent,0.0
121,8464,8465.0,2019-10-05,AB-10165,2019,2018,1,1.0,Consistent,0.0
122,10087,,,AB-10165,2020,2018,0,1.0,Sleeping,281.0
123,929,930.0,2021-04-14,AB-10165,2021,2018,1,0.0,Returning,430.0
124,930,931.0,2021-04-14,AB-10165,2021,2018,1,1.0,Consistent,0.0
125,931,932.0,2021-04-14,AB-10165,2021,2018,1,1.0,Consistent,0.0
126,3433,3434.0,2021-05-12,AB-10165,2021,2018,1,1.0,Consistent,0.0
127,3434,3435.0,2021-05-12,AB-10165,2021,2018,1,1.0,Consistent,0.0
128,6132,6133.0,2021-09-15,AB-10165,2021,2018,1,1.0,Consistent,0.0
129,8664,8665.0,2021-03-30,AB-10165,2021,2018,1,1.0,Consistent,0.0
130,9483,9484.0,2018-07-22,AB-10255,2018,2018,1,,New,-506.0
131,3612,3613.0,2019-03-12,AB-10255,2019,2018,1,1.0,Consistent,-205.0
132,3613,3614.0,2019-03-12,AB-10255,2019,2018,1,1.0,Consistent,0.0
133,5527,5528.0,2019-08-05,AB-10255,2019,2018,1,1.0,Consistent,0.0
134,1693,1694.0,2020-06-26,AB-10255,2020,2018,1,1.0,Consistent,281.0
135,3720,3721.0,2020-12-20,AB-10255,2020,2018,1,1.0,Consistent,0.0
136,3721,3722.0,2020-12-20,AB-10255,2020,2018,1,1.0,Consistent,0.0
137,5135,5136.0,2020-10-23,AB-10255,2020,2018,1,1.0,Consistent,0.0
138,1330,1331.0,2021-02-06,AB-10255,2021,2018,1,1.0,Consistent,430.0
139,1331,1332.0,2021-02-06,AB-10255,2021,2018,1,1.0,Consistent,0.0
140,2705,2706.0,2021-06-16,AB-10255,2021,2018,1,1.0,Consistent,0.0
141,2706,2707.0,2021-06-16,AB-10255,2021,2018,1,1.0,Consistent,0.0
142,2707,2708.0,2021-06-16,AB-10255,2021,2018,1,1.0,Consistent,0.0
143,4572,4573.0,2021-07-17,AB-10255,2021,2018,1,1.0,Consistent,0.0
144,4130,4131.0,2018-11-18,AB-10600,2018,2018,1,,New,-506.0
145,4216,4217.0,2019-02-18,AB-10600,2019,2018,1,1.0,Consistent,-205.0
146,7753,7754.0,2019-11-30,AB-10600,2019,2018,1,1.0,Consistent,0.0
147,10184,,,AB-10600,2020,2018,0,1.0,Sleeping,281.0
148,1363,1364.0,2021-10-11,AB-10600,2021,2018,1,0.0,Returning,430.0
149,1364,1365.0,2021-10-11,AB-10600,2021,2018,1,1.0,Consistent,0.0
150,1365,1366.0,2021-10-11,AB-10600,2021,2018,1,1.0,Consistent,0.0
151,1366,1367.0,2021-10-11,AB-10600,2021,2018,1,1.0,Consistent,0.0
152,1367,1368.0,2021-10-11,AB-10600,2021,2018,1,1.0,Consistent,0.0
153,337,338.0,2018-12-07,AC-10420,2018,2018,1,,New,-506.0
154,338,339.0,2018-12-07,AC-10420,2018,2018,1,1.0,Consistent,0.0
155,10050,,,AC-10420,2019,2018,0,1.0,Sleeping,-205.0
156,6236,6237.0,2020-02-23,AC-10420,2020,2018,1,0.0,Returning,281.0
157,1856,1857.0,2021-12-05,AC-10420,2021,2018,1,1.0,Consistent,430.0
158,1857,1858.0,2021-12-05,AC-10420,2021,2018,1,1.0,Consistent,0.0
159,4771,4772.0,2018-10-31,AC-10450,2018,2018,1,,New,-506.0
160,3024,3025.0,2019-08-11,AC-10450,2019,2018,1,1.0,Consistent,-205.0
161,3025,3026.0,2019-08-11,AC-10450,2019,2018,1,1.0,Consistent,0.0
162,5814,5815.0,2019-06-15,AC-10450,2019,2018,1,1.0,Consistent,0.0
163,4115,4116.0,2020-11-24,AC-10450,2020,2018,1,1.0,Consistent,281.0
164,4664,4665.0,2020-09-22,AC-10450,2020,2018,1,1.0,Consistent,0.0
165,4665,4666.0,2020-09-22,AC-10450,2020,2018,1,1.0,Consistent,0.0
166,1896,1897.0,2021-03-10,AC-10450,2021,2018,1,1.0,Consistent,430.0
167,3588,3589.0,2021-12-19,AC-10450,2021,2018,1,1.0,Consistent,0.0
168,7470,7471.0,2019-09-15,AC-10615,2019,2019,1,,New,-2027.0
169,7471,7472.0,2019-09-15,AC-10615,2019,2019,1,1.0,Consistent,0.0
170,10235,,,AC-10615,2020,2019,0,1.0,Sleeping,-20.0
171,1946,1947.0,2021-02-09,AC-10615,2021,2019,1,0.0,Returning,154.0
172,1947,1948.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
173,1948,1949.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
174,1949,1950.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
175,1950,1951.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
176,1951,1952.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
177,1952,1953.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
178,1953,1954.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
179,1954,1955.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
180,1955,1956.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
181,1956,1957.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
182,1957,1958.0,2021-02-09,AC-10615,2021,2019,1,1.0,Consistent,0.0
183,3700,3701.0,2021-12-24,AC-10615,2021,2019,1,1.0,Consistent,0.0
184,6026,6027.0,2021-02-23,AC-10615,2021,2019,1,1.0,Consistent,0.0
185,6027,6028.0,2021-02-23,AC-10615,2021,2019,1,1.0,Consistent,0.0
186,9529,9530.0,2021-03-24,AC-10615,2021,2019,1,1.0,Consistent,0.0
187,4897,4898.0,2018-10-15,AC-10660,2018,2018,1,,New,1387.0
188,4898,4899.0,2018-10-15,AC-10660,2018,2018,1,1.0,Consistent,0.0
189,10296,,,AC-10660,2019,2018,0,1.0,Sleeping,-205.0
190,6148,6149.0,2020-06-27,AC-10660,2020,2018,1,0.0,Returning,281.0
191,8381,8382.0,2020-03-17,AC-10660,2020,2018,1,1.0,Consistent,0.0
192,9446,9447.0,2020-09-22,AC-10660,2020,2018,1,1.0,Consistent,0.0
193,2842,2843.0,2021-03-23,AC-10660,2021,2018,1,1.0,Consistent,430.0
194,124,125.0,2018-12-26,AD-10180,2018,2018,1,,New,-506.0
195,9735,9736.0,2018-11-19,AD-10180,2018,2018,1,1.0,Consistent,0.0
196,1286,1287.0,2019-04-07,AD-10180,2019,2018,1,1.0,Consistent,-205.0
197,1326,1327.0,2019-06-14,AD-10180,2019,2018,1,1.0,Consistent,0.0
198,10013,,,AD-10180,2020,2018,0,1.0,Sleeping,281.0
199,515,516.0,2021-01-22,AD-10180,2021,2018,1,0.0,Returning,430.0
200,516,517.0,2021-01-22,AD-10180,2021,2018,1,1.0,Consistent,0.0
201,517,518.0,2021-01-22,AD-10180,2021,2018,1,1.0,Consistent,0.0
202,518,519.0,2021-01-22,AD-10180,2021,2018,1,1.0,Consistent,0.0
203,3699,3700.0,2021-11-13,AD-10180,2021,2018,1,1.0,Consistent,0.0
204,4927,4928.0,2021-01-12,AD-10180,2021,2018,1,1.0,Consistent,0.0
205,4928,4929.0,2021-01-12,AD-10180,2021,2018,1,1.0,Consistent,0.0
206,5288,5289.0,2021-04-30,AD-10180,2021,2018,1,1.0,Consistent,0.0
207,5608,5609.0,2019-06-12,AF-10870,2019,2019,1,,New,-2027.0
208,2440,2441.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,-20.0
209,2441,2442.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,0.0
210,2442,2443.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,0.0
211,2443,2444.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,0.0
212,2444,2445.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,0.0
213,2445,2446.0,2020-05-22,AF-10870,2020,2019,1,1.0,Consistent,0.0
214,3358,3359.0,2020-06-05,AF-10870,2020,2019,1,1.0,Consistent,0.0
215,3359,3360.0,2020-06-05,AF-10870,2020,2019,1,1.0,Consistent,0.0
216,9667,9668.0,2020-04-23,AF-10870,2020,2019,1,1.0,Consistent,0.0
217,9668,9669.0,2020-04-23,AF-10870,2020,2019,1,1.0,Consistent,0.0
218,2150,2151.0,2021-11-19,AF-10870,2021,2019,1,1.0,Consistent,154.0
219,3945,3946.0,2021-11-18,AF-10870,2021,2019,1,1.0,Consistent,0.0
220,3946,3947.0,2021-11-18,AF-10870,2021,2019,1,1.0,Consistent,0.0
221,8199,8200.0,2021-04-24,AF-10870,2021,2019,1,1.0,Consistent,0.0
222,8200,8201.0,2021-04-24,AF-10870,2021,2019,1,1.0,Consistent,0.0
223,3284,3285.0,2018-12-09,AF-10885,2018,2018,1,,New,1387.0
224,7554,7555.0,2018-10-05,AF-10885,2018,2018,1,1.0,Consistent,0.0
225,7555,7556.0,2018-10-05,AF-10885,2018,2018,1,1.0,Consistent,0.0
226,846,847.0,2019-10-13,AF-10885,2019,2018,1,1.0,Consistent,-205.0
227,847,848.0,2019-10-13,AF-10885,2019,2018,1,1.0,Consistent,0.0
228,2867,2868.0,2020-10-11,AF-10885,2020,2018,1,1.0,Consistent,281.0
229,2868,2869.0,2020-10-11,AF-10885,2020,2018,1,1.0,Consistent,0.0
230,10108,,,AF-10885,2021,2018,0,1.0,Sleeping,430.0
231,17,18.0,2018-05-13,AG-10270,2018,2018,1,,New,-506.0
232,7410,7411.0,2018-07-23,AG-10270,2018,2018,1,1.0,Consistent,0.0
233,8036,8037.0,2019-09-20,AG-10270,2019,2018,1,1.0,Consistent,-205.0
234,7379,7380.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,281.0
235,7380,7381.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
236,7381,7382.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
237,7382,7383.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
238,7383,7384.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
239,7384,7385.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
240,7385,7386.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
241,7386,7387.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
242,7387,7388.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
243,7388,7389.0,2020-09-13,AG-10270,2020,2018,1,1.0,Consistent,0.0
244,4675,4676.0,2021-03-27,AG-10270,2021,2018,1,1.0,Consistent,430.0
245,2614,2615.0,2018-04-26,AG-10300,2018,2018,1,,New,-506.0
246,2615,2616.0,2018-04-26,AG-10300,2018,2018,1,1.0,Consistent,0.0
247,6995,6996.0,2019-11-19,AG-10300,2019,2018,1,1.0,Consistent,-205.0
248,4184,4185.0,2020-05-12,AG-10300,2020,2018,1,1.0,Consistent,281.0
249,3586,3587.0,2021-03-09,AG-10300,2021,2018,1,1.0,Consistent,430.0
250,6157,6158.0,2020-03-08,AG-10330,2020,2020,1,,New,-2289.0
251,6158,6159.0,2020-03-08,AG-10330,2020,2020,1,1.0,Consistent,0.0
252,4352,4353.0,2021-10-12,AG-10330,2021,2020,1,1.0,Consistent,51.0
253,4353,4354.0,2021-10-12,AG-10330,2021,2020,1,1.0,Consistent,0.0
254,6192,6193.0,2021-12-22,AG-10330,2021,2020,1,1.0,Consistent,0.0
255,6193,6194.0,2021-12-22,AG-10330,2021,2020,1,1.0,Consistent,0.0
256,6194,6195.0,2021-12-22,AG-10330,2021,2020,1,1.0,Consistent,0.0
257,7151,7152.0,2021-12-22,AG-10330,2021,2020,1,1.0,Consistent,0.0
258,7737,7738.0,2021-12-18,AG-10330,2021,2020,1,1.0,Consistent,0.0
259,4985,4986.0,2018-03-09,AG-10390,2018,2018,1,,New,1732.0
260,7842,7843.0,2018-04-19,AG-10390,2018,2018,1,1.0,Consistent,0.0
261,7843,7844.0,2018-04-19,AG-10390,2018,2018,1,1.0,Consistent,0.0
262,10143,,,AG-10390,2019,2018,0,1.0,Sleeping,-205.0
263,1033,1034.0,2020-11-20,AG-10390,2020,2018,1,0.0,Returning,281.0
264,1034,1035.0,2020-11-20,AG-10390,2020,2018,1,1.0,Consistent,0.0
265,1035,1036.0,2020-11-20,AG-10390,2020,2018,1,1.0,Consistent,0.0
266,2196,2197.0,2020-01-12,AG-10390,2020,2018,1,1.0,Consistent,0.0
267,6004,6005.0,2021-07-09,AG-10390,2021,2018,1,1.0,Consistent,430.0
268,4274,4275.0,2019-10-23,AG-10495,2019,2019,1,,New,-2027.0
269,5159,5160.0,2019-10-26,AG-10495,2019,2019,1,1.0,Consistent,0.0
270,5160,5161.0,2019-10-26,AG-10495,2019,2019,1,1.0,Consistent,0.0
271,5372,5373.0,2019-10-24,AG-10495,2019,2019,1,1.0,Consistent,0.0
272,5373,5374.0,2019-10-24,AG-10495,2019,2019,1,1.0,Consistent,0.0
273,5374,5375.0,2019-10-24,AG-10495,2019,2019,1,1.0,Consistent,0.0
274,5646,5647.0,2019-04-01,AG-10495,2019,2019,1,1.0,Consistent,0.0
275,9313,9314.0,2019-11-11,AG-10495,2019,2019,1,1.0,Consistent,0.0
276,9314,9315.0,2019-11-11,AG-10495,2019,2019,1,1.0,Consistent,0.0
277,9815,9816.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
278,9816,9817.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
279,9817,9818.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
280,9818,9819.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
281,9819,9820.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
282,9820,9821.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
283,9821,9822.0,2019-08-06,AG-10495,2019,2019,1,1.0,Consistent,0.0
284,6610,6611.0,2020-10-20,AG-10495,2020,2019,1,1.0,Consistent,-20.0
285,276,277.0,2021-10-13,AG-10495,2021,2019,1,1.0,Consistent,154.0
286,277,278.0,2021-10-13,AG-10495,2021,2019,1,1.0,Consistent,0.0
287,278,279.0,2021-10-13,AG-10495,2021,2019,1,1.0,Consistent,0.0
288,279,280.0,2021-10-13,AG-10495,2021,2019,1,1.0,Consistent,0.0
289,314,315.0,2018-09-08,AG-10525,2018,2018,1,,New,1387.0
290,315,316.0,2018-09-08,AG-10525,2018,2018,1,1.0,Consistent,0.0
291,7288,7289.0,2018-02-09,AG-10525,2018,2018,1,1.0,Consistent,0.0
292,8626,8627.0,2019-07-09,AG-10525,2019,2018,1,1.0,Consistent,-205.0
293,8627,8628.0,2019-07-09,AG-10525,2019,2018,1,1.0,Consistent,0.0
294,8628,8629.0,2019-07-09,AG-10525,2019,2018,1,1.0,Consistent,0.0
295,8629,8630.0,2019-07-09,AG-10525,2019,2018,1,1.0,Consistent,0.0
296,8630,8631.0,2019-07-09,AG-10525,2019,2018,1,1.0,Consistent,0.0
297,8790,8791.0,2019-06-09,AG-10525,2019,2018,1,1.0,Consistent,0.0
298,10045,,,AG-10525,2020,2018,0,1.0,Sleeping,281.0
299,10046,,,AG-10525,2021,2018,0,0.0,,430.0
300,2974,2975.0,2019-07-05,AG-10675,2019,2019,1,,New,-2027.0
301,2975,2976.0,2019-07-05,AG-10675,2019,2019,1,1.0,Consistent,0.0
302,398,399.0,2020-08-09,AG-10675,2020,2019,1,1.0,Consistent,-20.0
303,399,400.0,2020-08-09,AG-10675,2020,2019,1,1.0,Consistent,0.0
304,400,401.0,2020-08-09,AG-10675,2020,2019,1,1.0,Consistent,0.0
305,401,402.0,2020-08-09,AG-10675,2020,2019,1,1.0,Consistent,0.0
306,7268,7269.0,2020-01-14,AG-10675,2020,2019,1,1.0,Consistent,0.0
307,7269,7270.0,2020-01-14,AG-10675,2020,2019,1,1.0,Consistent,0.0
308,1734,1735.0,2021-07-29,AG-10675,2021,2019,1,1.0,Consistent,154.0
309,1735,1736.0,2021-07-29,AG-10675,2021,2019,1,1.0,Consistent,0.0
310,1736,1737.0,2021-07-29,AG-10675,2021,2019,1,1.0,Consistent,0.0
311,5183,5184.0,2021-09-24,AG-10675,2021,2019,1,1.0,Consistent,0.0
312,5184,5185.0,2021-09-24,AG-10675,2021,2019,1,1.0,Consistent,0.0
313,5279,5280.0,2021-07-09,AG-10675,2021,2019,1,1.0,Consistent,0.0
314,8147,8148.0,2021-09-06,AG-10675,2021,2019,1,1.0,Consistent,0.0
315,878,879.0,2018-09-17,AG-10765,2018,2018,1,,New,1387.0
316,4578,4579.0,2019-09-06,AG-10765,2019,2018,1,1.0,Consistent,-205.0
317,8741,8742.0,2019-09-11,AG-10765,2019,2018,1,1.0,Consistent,0.0
318,10118,,,AG-10765,2020,2018,0,1.0,Sleeping,281.0
319,5696,5697.0,2021-10-14,AG-10765,2021,2018,1,0.0,Returning,430.0
320,5697,5698.0,2021-10-14,AG-10765,2021,2018,1,1.0,Consistent,0.0
321,372,373.0,2018-07-23,AG-10900,2018,2018,1,,New,-506.0
322,373,374.0,2018-07-23,AG-10900,2018,2018,1,1.0,Consistent,0.0
