,Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
505,18,164,manjack,1.5746399999999998e-13,24
951,22,165,zinkify,1.57464e-13,28
5,11,166,account,1.65888e-13,17
580,17,166,officer,1.65888e-13,23
839,15,167,survive,1.6588800000000002e-13,21
223,6,168,disease,1.7199267839999998e-13,12
31,6,169,arrange,1.8366600959999992e-13,12
684,17,170,pyjamas,2.0995200000000005e-13,23
639,18,170,pixyish,2.0995200000000005e-13,24
200,19,171,dazedly,2.2118400000000003e-13,25
30,12,172,applied,2.48832e-13,18
575,17,173,obloquy,2.6214400000000007e-13,23
318,6,174,genuine,2.9023764479999985e-13,12
848,8,174,theatre,2.9023764479999985e-13,14
840,7,175,suspect,2.94912e-13,13
415,17,176,jhatkas,3.1492799999999996e-13,23
606,17,176,panchax,3.1492799999999996e-13,23
347,17,177,hijinks,3.14928e-13,23
516,18,177,mazurka,3.14928e-13,24
476,19,177,kwanzas,3.14928e-13,25
949,20,177,zincify,3.14928e-13,26
167,11,178,concert,3.31776e-13,17
378,15,178,involve,3.31776e-13,21
939,20,178,zebecks,3.31776e-13,26
510,17,179,matzoth,3.732479999999999e-13,23
114,11,180,centric,3.73248e-13,17
805,7,181,someone,4.076863488e-13,13
699,17,182,quamash,4.199040000000001e-13,23
493,18,182,liquify,4.199040000000001e-13,24
322,6,183,greater,4.353564671999999e-13,12
799,8,184,skilled,4.42368e-13,14
959,18,184,zoogamy,4.42368e-13,24
960,22,184,zootaxy,4.42368e-13,28
635,12,185,picking,4.723919999999999e-13,18
456,17,185,khanjar,4.723919999999999e-13,23
886,19,185,vizying,4.723919999999999e-13,25
391,17,186,jambiya,4.72392e-13,23
41,9,187,average,4.897760255999999e-13,15
767,9,188,satisfy,4.97664e-13,15
752,5,189,restore,5.159780351999998e-13,11
469,11,190,knowing,5.598719999999999e-13,17
376,5,191,intense,5.804752895999999e-13,11
753,6,191,retired,5.804752895999999e-13,12
431,17,192,jookery,5.898239999999999e-13,23
665,7,193,process,5.89824e-13,13
76,17,193,boozily,5.89824e-13,23
645,17,193,polyzoa,5.89824e-13,23
921,18,193,woozily,5.89824e-13,24
50,10,194,banking,6.298559999999997e-13,16
335,17,195,hazmats,6.298559999999999e-13,23
508,17,195,matzahs,6.298559999999999e-13,23
712,18,195,quickie,6.298559999999999e-13,24
130,17,196,chazans,6.29856e-13,23
704,20,197,queechy,6.635520000000002e-13,26
100,6,198,calling,7.46496e-13,12
611,6,198,passing,7.46496e-13,12
659,10,199,primary,8.39808e-13,16
139,17,200,chorizo,8.847359999999999e-13,23
193,5,201,culture,8.84736e-13,11
36,6,201,assumed,8.84736e-13,12
355,10,201,hundred,8.84736e-13,16
598,12,202,package,9.447839999999998e-13,18
624,10,203,perform,9.953279999999998e-13,16
312,7,204,gallery,9.95328e-13,13
480,7,204,largely,9.95328e-13,13
507,8,204,massive,9.95328e-13,14
613,8,204,passive,9.95328e-13,14
900,11,204,wedding,9.95328e-13,17
468,18,204,klezmer,9.95328e-13,24
498,6,205,logical,9.953280000000002e-13,12
669,8,206,program,1.119744e-12,14
157,10,207,comfort,1.1796479999999998e-12,16
758,17,208,rhizopi,1.259712e-12,23
172,5,209,consist,1.3271040000000004e-12,11
135,17,209,cheques,1.3271040000000004e-12,23
333,17,210,hazanim,1.417176e-12,23
307,9,211,further,1.4929919999999996e-12,15
918,9,211,without,1.4929919999999996e-12,15
837,7,212,surgery,1.492992e-12,13
882,7,212,village,1.492992e-12,13
825,8,212,stretch,1.492992e-12,14
294,10,212,forward,1.492992e-12,16
177,12,212,context,1.492992e-12,18
67,23,212,bezique,1.492992e-12,29
804,11,213,somehow,1.572864e-12,17
489,8,214,library,1.6796159999999996e-12,14
85,6,215,burning,1.6796159999999998e-12,12
195,6,215,cutting,1.6796159999999998e-12,12
280,10,216,fishing,1.8895679999999996e-12,16
260,15,216,exhibit,1.8895679999999996e-12,21
627,17,216,pheazar,1.8895679999999996e-12,23
371,15,217,inquiry,1.889568e-12,21
247,17,218,enzymes,1.9906559999999996e-12,23
612,5,219,passion,1.990656e-12,11
281,6,219,fitness,1.990656e-12,12
919,6,219,witness,1.990656e-12,12
219,9,219,diamond,1.990656e-12,15
911,14,219,whereby,1.990656e-12,20
411,19,219,jerques,1.990656e-12,25
409,20,219,jerqued,1.990656e-12,26
12,10,220,advised,1.9906560000000004e-12,16
134,17,220,chequer,1.9906560000000004e-12,23
394,19,221,janizar,2.125764e-12,25
124,8,222,channel,2.239488e-12,14
577,8,223,obvious,2.359296e-12,14
241,10,223,economy,2.359296e-12,16
594,20,224,oxidize,2.5194239999999997e-12,26
101,9,225,capable,2.519424e-12,15
616,10,225,payable,2.519424e-12,16
4,11,225,academy,2.519424e-12,17
37,4,226,assured,2.654208e-12,10
592,6,226,overall,2.654208e-12,12
827,7,227,studied,2.6542080000000007e-12,13
259,13,227,exclude,2.6542080000000007e-12,19
935,20,228,zambuck,2.88e-12,26
549,23,228,muzjiks,2.88e-12,29
846,4,229,telling,2.9859839999999996e-12,10
487,5,229,liberal,2.9859839999999996e-12,11
80,8,229,brother,2.9859839999999996e-12,14
373,3,230,install,2.985984e-12,9
841,3,230,sustain,2.985984e-12,9
673,7,230,protect,2.985984e-12,13
256,14,230,example,2.985984e-12,20
60,17,230,bemazed,2.985984e-12,23
543,6,231,morning,3.359231999999999e-12,12
129,8,231,charter,3.359231999999999e-12,14
700,12,231,quarter,3.359231999999999e-12,18
570,4,232,nursing,3.3592319999999996e-12,10
564,7,232,nothing,3.3592319999999996e-12,13
620,7,232,pending,3.3592319999999996e-12,13
854,7,232,tonight,3.3592319999999996e-12,13
52,8,232,battery,3.3592319999999996e-12,14
889,7,233,wanting,3.779135999999999e-12,13
890,7,233,warning,3.779135999999999e-12,13
117,17,234,cerveza,4.478975999999999e-12,23
194,5,235,current,4.478976e-12,11
943,19,235,zeuxite,4.478976e-12,25
587,7,236,outcome,4.718592e-12,13
58,8,236,bedroom,4.718592e-12,14
860,4,237,turning,5.038847999999999e-12,10
479,5,237,landing,5.038847999999999e-12,11
278,8,237,finance,5.038847999999999e-12,14
885,8,238,visible,5.038848e-12,14
778,3,239,serious,5.308416e-12,9
902,10,240,welcome,5.3084160000000014e-12,16
313,10,241,gateway,5.668703999999997e-12,16
881,10,241,viewing,5.668703999999997e-12,16
372,7,242,insight,5.668703999999998e-12,13
235,8,242,driving,5.668703999999998e-12,14
102,7,243,capital,5.668704e-12,13
2,8,243,ability,5.668704e-12,14
728,9,243,railway,5.668704e-12,15
289,15,244,flyback,5.76e-12,21
331,15,244,hawbuck,5.76e-12,21
936,18,244,zambuks,5.76e-12,24
548,19,244,muzhiks,5.76e-12,25
713,19,244,quickly,5.76e-12,25
817,20,244,squawky,5.76e-12,26
171,5,245,consent,5.9719679999999985e-12,11
850,11,245,thereby,5.9719679999999985e-12,17
240,17,245,echoize,5.9719679999999985e-12,23
826,4,246,student,5.971968e-12,10
176,5,246,contest,5.971968e-12,11
675,5,246,protest,5.971968e-12,11
623,10,246,perfect,5.971968e-12,16
876,11,246,vehicle,5.971968e-12,17
455,10,247,keeping,6.718463999999998e-12,16
739,4,248,regular,6.718463999999999e-12,10
582,6,248,opening,6.718463999999999e-12,12
178,5,249,control,7.077888e-12,11
672,7,249,promote,7.077888e-12,13
518,6,250,meaning,7.558271999999999e-12,12
49,7,250,balance,7.558271999999999e-12,13
275,8,250,fiction,7.558271999999999e-12,14
10,9,250,advance,7.558271999999999e-12,15
209,9,250,deficit,7.558271999999999e-12,15
24,6,251,analyst,7.558272e-12,12
971,18,252,zythums,7.680000000000001e-12,24
443,21,252,jukebox,7.680000000000001e-12,27
835,7,253,supreme,7.962624e-12,13
163,9,253,compete,7.962624e-12,15
342,9,253,herself,7.962624e-12,15
263,12,253,explore,7.962624e-12,18
354,12,253,however,7.962624e-12,18
924,7,254,writing,8.503055999999996e-12,13
103,7,255,captain,8.503056e-12,13
269,7,255,failing,8.503056e-12,13
621,5,256,pension,8.957952e-12,11
810,9,256,speaker,8.957952e-12,15
258,13,256,excited,8.957952e-12,19
615,5,257,pattern,1.0077695999999995e-11,11
925,6,257,written,1.0077695999999995e-11,12
782,4,258,setting,1.0077695999999997e-11,10
506,6,258,married,1.0077695999999997e-11,12
226,4,259,distant,1.0077695999999999e-11,10
19,5,259,airport,1.0077695999999999e-11,11
174,5,259,contain,1.0077695999999999e-11,11
609,5,259,partner,1.0077695999999999e-11,11
660,5,259,printer,1.0077695999999999e-11,11
790,5,260,silicon,1.0077696e-11,11
86,15,261,buxomly,1.0240000000000002e-11,21
217,9,262,develop,1.0616832000000003e-11,15
494,4,263,listing,1.1337407999999998e-11,10
112,6,263,ceiling,1.1337407999999998e-11,12
791,5,264,similar,1.1337408e-11,11
727,6,264,radical,1.1337408e-11,12
78,15,265,boychik,1.152e-11,21
446,15,265,jumpily,1.152e-11,21
392,16,265,jamboks,1.152e-11,22
475,16,265,kvetchy,1.152e-11,22
603,16,265,pajocks,1.152e-11,22
798,16,265,sjambok,1.152e-11,22
497,17,265,lockjaw,1.152e-11,23
769,17,265,schmalz,1.152e-11,23
363,18,265,hypoxic,1.152e-11,24
952,18,265,ziplock,1.152e-11,24
958,20,265,zombify,1.152e-11,26
750,7,266,respect,1.1943935999999997e-11,13
738,8,266,reflect,1.1943935999999997e-11,14
783,9,266,seventh,1.1943935999999997e-11,15
746,12,266,request,1.1943935999999997e-11,18
57,7,267,because,1.1943936e-11,13
887,7,268,waiting,1.2754583999999998e-11,13
346,17,269,hijacks,1.2960000000000003e-11,23
522,5,270,mention,1.3436927999999997e-11,11
7,11,271,achieve,1.3436927999999998e-11,17
25,5,272,ancient,1.5116543999999997e-11,11
614,5,272,patient,1.5116543999999997e-11,11
491,6,272,limited,1.5116543999999997e-11,12
22,7,273,already,1.5116544e-11,13
426,17,274,jockeys,1.5360000000000002e-11,23
770,17,274,schmelz,1.5360000000000002e-11,23
957,18,274,zlotych,1.5360000000000002e-11,24
845,7,275,telecom,1.5925247999999997e-11,13
541,5,276,monitor,1.5925248e-11,11
648,5,276,portion,1.5925248e-11,11
664,8,276,proceed,1.5925248e-11,14
303,9,276,freedom,1.5925248e-11,15
744,9,277,removed,1.5925248000000004e-11,15
504,6,278,manager,1.7006111999999993e-11,12
220,5,279,digital,1.7006112e-11,11
608,5,279,partial,1.7006112e-11,11
315,15,280,gazumps,1.7279999999999997e-11,21
387,16,281,jackpot,1.7280000000000004e-11,22
141,17,281,chutzpa,1.7280000000000004e-11,23
390,19,281,jambeux,1.7280000000000004e-11,25
777,6,282,segment,1.7915903999999995e-11,12
3,7,283,absence,1.7915904e-11,13
622,7,283,percent,1.7915904e-11,13
651,7,283,precise,1.7915904e-11,13
745,7,283,replace,1.7915904e-11,13
657,8,283,prevent,1.7915904e-11,14
779,8,283,service,1.7915904e-11,14
899,8,283,website,1.7915904e-11,14
903,9,283,welfare,1.7915904e-11,15
910,9,283,whereas,1.7915904e-11,15
822,3,284,station,2.0155391999999997e-11,9
255,12,284,examine,2.0155391999999997e-11,18
558,3,285,natural,2.2674815999999996e-11,9
109,15,286,cashbox,2.304e-11,21
77,16,286,boxfish,2.304e-11,22
299,16,286,foxship,2.304e-11,22
459,16,286,khodjas,2.304e-11,22
595,16,286,oxyphil,2.304e-11,22
427,17,286,jockney,2.304e-11,23
786,18,286,showbiz,2.304e-11,24
942,18,287,zephyrs,2.3040000000000005e-11,24
565,9,288,nowhere,2.3887872e-11,15
16,4,289,against,2.5509167999999992e-11,10
366,6,290,imagine,2.5509167999999996e-11,12
386,16,291,jackmen,2.5919999999999993e-11,22
515,17,291,mazhbis,2.5919999999999993e-11,23
384,15,292,jackleg,2.5920000000000003e-11,21
626,16,292,pharynx,2.5920000000000003e-11,22
137,18,292,chintzy,2.5920000000000003e-11,24
695,17,293,quakily,2.5920000000000006e-11,23
847,3,294,tension,2.6873855999999996e-11,9
274,7,294,feeling,2.6873855999999996e-11,13
735,7,294,receipt,2.6873855999999996e-11,13
61,8,294,beneath,2.6873855999999996e-11,14
62,8,294,benefit,2.6873855999999996e-11,14
844,8,294,teacher,2.6873855999999996e-11,14
897,9,294,weather,2.6873855999999996e-11,15
793,10,294,sixteen,2.6873855999999996e-11,16
383,15,295,jacking,2.915999999999999e-11,21
164,14,296,complex,3.0720000000000005e-11,20
749,6,297,resolve,3.1850496e-11,12
377,5,298,interim,3.401222399999999e-11,11
631,16,299,phizogs,3.4559999999999995e-11,22
965,16,299,zygomas,3.4559999999999995e-11,22
501,17,299,machzor,3.4559999999999995e-11,23
449,14,300,justify,3.456000000000001e-11,20
120,15,300,chalutz,3.456000000000001e-11,21
300,15,300,foxskin,3.456000000000001e-11,21
358,15,300,hutzpas,3.456000000000001e-11,21
344,16,300,hexylic,3.456000000000001e-11,22
602,16,300,pajocke,3.456000000000001e-11,22
691,16,300,quackle,3.456000000000001e-11,22
412,17,300,jewfish,3.456000000000001e-11,23
689,17,300,quacked,3.456000000000001e-11,23
818,17,300,squeaky,3.456000000000001e-11,23
969,17,300,zymotic,3.456000000000001e-11,23
703,18,300,queachy,3.456000000000001e-11,24
656,5,301,present,3.583180799999999e-11,11
904,6,301,western,3.583180799999999e-11,12
490,5,302,license,3.5831808e-11,11
519,5,302,measure,3.5831808e-11,11
789,5,302,silence,3.5831808e-11,11
206,6,302,decline,3.5831808e-11,12
215,6,302,despite,3.5831808e-11,12
784,6,302,several,3.5831808e-11,12
877,6,302,venture,3.5831808e-11,12
11,7,302,adverse,3.5831808e-11,13
211,7,302,deliver,3.5831808e-11,13
227,7,302,diverse,3.5831808e-11,13
273,7,302,federal,3.5831808e-11,13
634,16,303,pickaxe,3.888e-11,22
536,18,303,mitzvah,3.888e-11,24
317,6,304,genetic,4.031078399999999e-11,12
521,6,304,meeting,4.031078399999999e-11,12
734,12,305,realize,4.0310783999999995e-11,18
677,8,306,publish,4.608e-11,14
828,12,306,subject,4.608e-11,18
47,15,306,azymous,4.608e-11,21
432,15,306,joukery,4.608e-11,21
702,15,306,qubytes,4.608e-11,21
705,15,306,quetsch,4.608e-11,21
524,16,306,methoxy,4.608e-11,22
630,16,306,phenoxy,4.608e-11,22
138,17,306,chometz,4.608e-11,23
64,15,307,benzyls,4.608000000000001e-11,21
54,16,308,bazouki,5.1839999999999986e-11,22
710,16,308,quicken,5.1839999999999986e-11,22
122,17,308,chametz,5.1839999999999986e-11,23
950,17,308,zincked,5.1839999999999986e-11,23
525,21,308,mezquit,5.1839999999999986e-11,27
96,15,309,byzants,5.1840000000000005e-11,21
408,15,309,jerkily,5.1840000000000005e-11,21
685,15,309,pyrexic,5.1840000000000005e-11,21
188,16,309,cozying,5.1840000000000005e-11,22
257,16,309,exarchy,5.1840000000000005e-11,22
690,16,309,quacker,5.1840000000000005e-11,22
711,16,309,quicker,5.1840000000000005e-11,22
966,16,309,zygotic,5.1840000000000005e-11,22
248,17,309,enzymic,5.1840000000000005e-11,23
457,17,309,khazens,5.1840000000000005e-11,23
556,18,309,mythize,5.1840000000000005e-11,24
301,19,309,frawzey,5.1840000000000005e-11,25
14,15,310,adzukis,5.184000000000001e-11,21
123,15,310,chamoix,5.184000000000001e-11,21
694,15,310,quaichs,5.184000000000001e-11,21
362,16,310,hypoxia,5.184000000000001e-11,22
482,16,310,lazyish,5.184000000000001e-11,22
697,16,310,qualify,5.184000000000001e-11,22
253,7,311,evident,5.3747711999999986e-11,13
272,6,312,feature,5.374771199999999e-11,12
48,10,313,backing,5.831999999999999e-11,16
696,15,313,quaking,5.831999999999999e-11,21
79,16,313,britzka,5.831999999999999e-11,22
42,17,314,avyzing,5.832e-11,23
75,15,315,blowzes,6.144000000000001e-11,21
576,15,315,obsequy,6.144000000000001e-11,21
74,16,315,blowzed,6.144000000000001e-11,22
964,16,315,zydecos,6.144000000000001e-11,22
181,15,316,coryzal,6.911999999999999e-11,21
182,15,316,coryzas,6.911999999999999e-11,21
199,15,316,czardom,6.911999999999999e-11,21
249,15,316,equably,6.911999999999999e-11,21
503,15,316,mahzors,6.911999999999999e-11,21
726,16,316,qwertys,6.911999999999999e-11,22
967,16,316,zymogen,6.911999999999999e-11,22
267,9,317,faculty,6.912000000000002e-11,15
161,10,317,company,6.912000000000002e-11,16
149,15,317,cliquey,6.912000000000002e-11,21
282,15,317,fixedly,6.912000000000002e-11,21
298,15,317,foxlike,6.912000000000002e-11,21
478,15,317,lacquey,6.912000000000002e-11,21
509,15,317,matzohs,6.912000000000002e-11,21
514,15,317,mazeful,6.912000000000002e-11,21
709,15,317,quiches,6.912000000000002e-11,21
492,16,317,liquefy,6.912000000000002e-11,22
513,16,317,mazedly,6.912000000000002e-11,22
708,16,317,quiched,6.912000000000002e-11,22
233,17,317,dockize,6.912000000000002e-11,23
430,17,317,jonquil,6.912000000000002e-11,23
941,17,317,zelkova,6.912000000000002e-11,23
707,19,317,quezals,6.912000000000002e-11,25
485,3,318,leisure,7.1663616e-11,9
43,15,319,azimuth,7.776e-11,21
396,15,319,jawlike,7.776e-11,21
111,21,319,cazique,7.776e-11,27
661,11,320,privacy,7.776000000000001e-11,17
128,15,320,charqui,7.776000000000001e-11,21
190,15,320,crazily,7.776000000000001e-11,21
221,15,320,diquark,7.776000000000001e-11,21
938,16,320,zanyish,7.776000000000001e-11,22
559,6,321,neither,8.062156799999998e-11,12
879,6,321,veteran,8.062156799999998e-11,12
316,4,322,general,8.062156799999999e-11,10
