,Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
434,34.24,45,D,4,Maths,74,435
445,38.34,44,B,8,Maths,88,446
459,34.24,46,D,4,Maths,73,460
464,38.34,44,B,8,Maths,89,465
465,38.34,48,B,8,Maths,88,466
474,38.34,44,B,8,Maths,90,475
476,38.34,41,B,8,Maths,88,477
482,34.24,42,D,4,Maths,74,483
484,32.72,38,E,2,Maths,69,485
492,38.34,43,B,8,Maths,88,493
496,38.34,45,B,8,Maths,91,497
497,34.24,40,D,4,Maths,75,498
501,36.19,44,C,6,Maths,84,502
503,38.34,47,B,8,Maths,89,504
509,31.09,40,F,1,Maths,64,510
510,31.09,41,F,1,Maths,60,511
514,38.34,50,B,8,Maths,87,515
515,36.19,44,C,6,Maths,80,516
527,32.72,48,E,2,Maths,67,528
530,38.34,40,B,8,Maths,90,531
531,31.09,44,F,1,Maths,65,532
537,36.19,42,C,6,Maths,82,538
538,36.19,48,C,6,Maths,80,539
540,34.24,43,D,4,Maths,76,541
543,31.09,53,F,1,Maths,61,544
545,38.34,44,B,8,Maths,92,546
546,36.19,43,C,6,Maths,82,547
549,32.72,48,E,2,Maths,68,550
550,38.34,52,B,8,Maths,92,551
559,36.19,40,C,6,Maths,80,560
564,36.19,42,C,6,Maths,85,565
571,38.34,42,B,8,Maths,90,572
576,32.72,40,E,2,Maths,71,577
577,34.24,48,D,4,Maths,79,578
580,34.24,48,D,4,Maths,73,581
581,38.34,46,B,8,Maths,90,582
584,31.09,41,F,1,Maths,66,585
590,34.24,38,D,4,Maths,77,591
596,36.19,42,C,6,Maths,80,597
598,32.72,46,E,2,Maths,70,599
600,32.72,46,E,2,Maths,71,601
601,32.72,42,E,2,Maths,67,602
604,31.09,44,F,1,Maths,63,605
606,31.09,43,F,1,Maths,63,607
607,32.72,45,E,2,Maths,72,608
608,34.24,46,D,4,Maths,79,609
619,38.34,40,B,8,Maths,91,620
624,31.09,37,F,1,Maths,64,625
626,38.34,44,B,8,Maths,88,627
630,31.09,40,F,1,Maths,64,631
634,32.72,41,E,2,Maths,70,635
638,34.24,43,D,4,Maths,76,639
640,31.09,43,F,1,Maths,60,641
647,31.09,39,F,1,Maths,66,648
649,32.72,44,E,2,Maths,70,650
650,36.19,40,C,6,Maths,83,651
653,31.09,47,F,1,Maths,65,654
656,32.72,44,E,2,Maths,67,657
659,34.24,44,D,4,Maths,79,660
671,34.24,44,D,4,Maths,76,672
683,36.19,50,C,6,Maths,81,684
686,38.34,54,B,8,Maths,91,687
690,34.24,38,D,4,Maths,78,691
692,32.72,52,E,2,Maths,68,693
693,38.34,39,B,8,Maths,87,694
717,38.34,39,B,8,Maths,88,718
719,38.34,42,B,8,Maths,88,720
720,34.24,42,D,4,Maths,79,721
723,36.19,41,C,6,Maths,80,724
724,32.72,42,E,2,Maths,72,725
727,36.19,41,C,6,Maths,83,728
734,32.72,39,E,2,Maths,72,735
735,32.72,42,E,2,Maths,72,736
753,36.19,44,C,6,Maths,81,754
759,38.34,43,B,8,Maths,91,760
763,38.34,58,B,8,Maths,89,764
765,32.72,47,E,2,Maths,69,766
768,32.72,42,E,2,Maths,72,769
769,36.19,39,C,6,Maths,80,770
776,36.19,42,C,6,Maths,82,777
781,36.19,46,C,6,Maths,82,782
783,32.72,42,E,2,Maths,70,784
790,34.24,43,D,4,Maths,76,791
791,32.72,50,E,2,Maths,71,792
815,34.24,43,D,4,Maths,73,816
822,34.24,43,D,4,Maths,76,823
830,31.09,43,F,1,Maths,62,831
837,31.09,39,F,1,Maths,65,838
844,38.34,46,B,8,Maths,87,845
845,38.34,52,B,8,Maths,87,846
849,31.09,39,F,1,Maths,64,850
854,32.72,52,E,2,Maths,68,855
856,38.34,47,B,8,Maths,88,857
860,32.72,39,E,2,Maths,70,861
862,38.34,50,B,8,Maths,89,863
863,38.34,44,B,8,Maths,87,864
866,38.34,52,B,8,Maths,92,867
870,32.72,48,E,2,Maths,72,871
873,38.34,58,B,8,Maths,88,874
882,34.24,38,D,4,Maths,78,883
889,38.34,40,B,8,Maths,87,890
890,34.24,52,D,4,Maths,73,891
894,36.19,42,C,6,Maths,80,895
896,34.24,43,D,4,Maths,79,897
903,36.19,46,C,6,Maths,83,904
910,32.72,48,E,2,Maths,67,911
911,38.34,44,B,8,Maths,90,912
919,38.34,42,B,8,Maths,92,920
921,36.19,38,C,6,Maths,84,922
923,34.24,42,D,4,Maths,74,924
930,32.72,40,E,2,Maths,68,931
931,38.34,49,B,8,Maths,91,932
933,32.72,38,E,2,Maths,70,934
935,36.19,42,C,6,Maths,80,936
939,34.24,42,D,4,Maths,77,940
943,34.24,40,D,4,Maths,77,944
950,38.34,43,B,8,Maths,86,951
951,32.72,41,E,2,Maths,72,952
954,32.72,42,E,2,Maths,68,955
960,36.19,50,C,6,Maths,83,961
961,38.34,48,B,8,Maths,87,962
972,36.19,45,C,6,Maths,83,973
974,36.19,43,C,6,Maths,82,975
981,38.34,52,B,8,Maths,86,982
984,31.09,47,F,1,Maths,61,985
987,34.24,44,D,4,Maths,75,988
1007,34.24,42,D,4,English,76,8
1011,34.24,52,D,4,English,80,12
1013,38.34,45,B,8,English,92,14
1016,38.34,42,B,8,English,88,17
1021,36.19,43,C,6,English,82,22
1023,32.72,46,E,2,English,72,24
1024,31.09,47,F,1,English,65,25
1034,32.72,52,E,2,English,70,35
1041,34.24,51,D,4,English,74,42
1042,34.24,48,D,4,English,80,43
1046,38.34,41,B,8,English,92,47
1050,36.19,46,C,6,English,81,51
1053,34.24,44,D,4,English,77,54
1054,38.34,45,B,8,English,93,55
1057,36.19,44,C,6,English,83,58
1062,38.34,49,B,8,English,90,63
1064,36.19,56,C,6,English,82,65
1079,38.34,52,B,8,English,91,80
1085,36.19,40,C,6,English,83,86
1098,34.24,44,D,4,English,75,99
1099,36.19,42,C,6,English,83,100
1100,38.34,42,B,8,English,91,101
1101,34.24,46,D,4,English,80,102
1104,32.72,41,E,2,English,69,105
1118,32.72,41,E,2,English,69,119
1129,38.34,52,B,8,English,92,130
1148,31.09,47,F,1,English,66,149
1150,36.19,48,C,6,English,83,151
1155,36.19,44,C,6,English,82,156
1160,31.09,46,F,1,English,61,161
1161,32.72,38,E,2,English,72,162
1162,38.34,46,B,8,English,88,163
1168,31.09,47,F,1,English,64,169
1175,38.34,43,B,8,English,91,176
1179,36.19,48,C,6,English,84,180
1183,34.24,45,D,4,English,77,184
1184,38.34,44,B,8,English,90,185
1186,32.72,46,E,2,English,69,187
1187,31.09,43,F,1,English,66,188
1192,38.34,41,B,8,English,89,193
1193,36.19,44,C,6,English,86,194
1196,31.09,51,F,1,English,60,197
1197,36.19,42,C,6,English,84,198
1202,38.34,56,B,8,English,88,203
1205,34.24,40,D,4,English,76,206
1215,36.19,43,C,6,English,82,216
1217,36.19,42,C,6,English,86,218
1219,36.19,50,C,6,English,82,220
1224,34.24,43,D,4,English,80,225
1228,34.24,39,D,4,English,79,229
1234,36.19,44,C,6,English,82,235
1235,34.24,44,D,4,English,75,236
1237,38.34,44,B,8,English,93,238
1239,34.24,43,D,4,English,77,240
1242,38.34,42,B,8,English,91,243
1251,32.72,43,E,2,English,73,252
1259,36.19,46,C,6,English,87,260
1261,32.72,43,E,2,English,71,262
1266,38.34,48,B,8,English,93,267
1279,34.24,41,D,4,English,76,280
1281,38.34,46,B,8,English,89,282
1284,38.34,43,B,8,English,88,285
1293,31.09,41,F,1,English,63,294
1297,36.19,50,C,6,English,81,298
1299,32.72,52,E,2,English,69,300
1311,34.24,38,D,4,English,80,312
1313,38.34,45,B,8,English,89,314
1317,34.24,42,D,4,English,80,318
1321,34.24,40,D,4,English,79,322
1324,31.09,42,F,1,English,64,325
1325,31.09,47,F,1,English,63,326
1327,34.24,42,D,4,English,77,328
1338,38.34,44,B,8,English,93,339
1340,36.19,44,C,6,English,81,341
1349,38.34,46,B,8,English,94,350
1352,32.72,42,E,2,English,69,353
1362,36.19,40,C,6,English,85,363
1367,31.09,41,F,1,English,65,368
1370,31.09,47,F,1,English,67,371
1376,31.09,49,F,1,English,64,377
1379,31.09,43,F,1,English,65,380
1396,34.24,48,D,4,English,80,397
1410,34.24,42,D,4,English,75,411
1411,34.24,42,D,4,English,77,412
1425,32.72,43,E,2,English,72,426
1433,34.24,43,D,4,English,77,434
1438,38.34,41,B,8,English,89,439
1463,38.34,50,B,8,English,91,464
1464,32.72,44,E,2,English,72,465
1465,38.34,48,B,8,English,90,466
1476,36.19,41,C,6,English,87,477
1482,36.19,42,C,6,English,81,483
1484,34.24,38,D,4,English,78,485
1492,32.72,43,E,2,English,69,493
1496,36.19,45,C,6,English,81,497
1497,34.24,40,D,4,English,76,498
1501,32.72,44,E,2,English,69,502
1505,38.34,43,B,8,English,89,506
1509,31.09,40,F,1,English,67,510
1515,36.19,44,C,6,English,84,516
1522,34.24,42,D,4,English,77,523
1527,38.34,48,B,8,English,94,528
1528,38.34,41,B,8,English,88,529
1529,31.09,43,F,1,English,63,530
1530,34.24,40,D,4,English,78,531
1532,34.24,46,D,4,English,74,533
1545,32.72,44,E,2,English,70,546
1546,36.19,43,C,6,English,83,547
1557,36.19,48,C,6,English,85,558
1558,31.09,45,F,1,English,65,559
1559,34.24,40,D,4,English,77,560
1564,34.24,42,D,4,English,79,565
1571,32.72,42,E,2,English,71,572
1576,38.34,40,B,8,English,93,577
1577,36.19,48,C,6,English,83,578
1580,36.19,48,C,6,English,83,581
1584,34.24,41,D,4,English,76,585
1598,38.34,46,B,8,English,94,599
1599,31.09,51,F,1,English,64,600
1601,34.24,42,D,4,English,78,602
1606,34.24,43,D,4,English,78,607
1608,36.19,46,C,6,English,86,609
1619,32.72,40,E,2,English,69,620
1623,38.34,55,B,8,English,89,624
1624,32.72,37,E,2,English,69,625
1626,36.19,44,C,6,English,84,627
1633,36.19,46,C,6,English,86,634
1634,38.34,41,B,8,English,92,635
1638,34.24,43,D,4,English,77,639
1640,34.24,43,D,4,English,75,641
1642,38.34,42,B,8,English,88,643
1644,32.72,44,E,2,English,69,645
1647,38.34,39,B,8,English,89,648
1649,38.34,44,B,8,English,90,650
1650,34.24,40,D,4,English,74,651
1653,36.19,47,C,6,English,87,654
1656,32.72,44,E,2,English,72,657
1657,32.72,42,E,2,English,71,658
1658,34.24,43,D,4,English,74,659
1659,36.19,44,C,6,English,85,660
1671,34.24,44,D,4,English,75,672
1676,38.34,44,B,8,English,90,677
1679,38.34,48,B,8,English,93,680
1683,34.24,50,D,4,English,77,684
1692,34.24,52,D,4,English,78,693
1693,31.09,39,F,1,English,65,694
1701,38.34,50,B,8,English,94,702
1717,36.19,39,C,6,English,83,718
1720,34.24,42,D,4,English,75,721
1723,31.09,41,F,1,English,61,724
1724,36.19,42,C,6,English,86,725
1727,31.09,41,F,1,English,63,728
1734,38.34,39,B,8,English,90,735
1739,38.34,45,B,8,English,92,740
1741,34.24,42,D,4,English,74,742
1753,32.72,44,E,2,English,68,754
1759,31.09,43,F,1,English,61,760
1763,38.34,58,B,8,English,89,764
1765,36.19,47,C,6,English,85,766
1768,31.09,42,F,1,English,65,769
1769,34.24,39,D,4,English,80,770
1776,38.34,42,B,8,English,93,777
1781,34.24,46,D,4,English,78,782
1791,38.34,50,B,8,English,92,792
1798,36.19,45,C,6,English,82,799
1801,34.24,40,D,4,English,78,802
1808,38.34,51,B,8,English,94,809
1815,38.34,43,B,8,English,91,816
1822,36.19,43,C,6,English,84,823
1828,38.34,41,B,8,English,94,829
1830,38.34,43,B,8,English,91,831
1836,38.34,52,B,8,English,88,837
1837,32.72,39,E,2,English,71,838
1840,38.34,45,B,8,English,91,841
1843,31.09,48,F,1,English,65,844
1844,36.19,46,C,6,English,84,845
1845,38.34,52,B,8,English,93,846
1849,34.24,39,D,4,English,79,850
1856,34.24,47,D,4,English,76,857
1860,38.34,39,B,8,English,94,861
1862,38.34,50,B,8,English,90,863
1863,31.09,44,F,1,English,65,864
1864,38.34,45,B,8,English,89,865
1866,36.19,52,C,6,English,84,867
1867,34.24,43,D,4,English,78,868
1882,38.34,38,B,8,English,92,883
1886,36.19,54,C,6,English,87,887
1889,32.72,40,E,2,English,68,890
1890,36.19,52,C,6,English,85,891
1894,36.19,42,C,6,English,87,895
1896,36.19,43,C,6,English,81,897
1900,31.09,41,F,1,English,67,901
1903,32.72,46,E,2,English,73,904
1911,38.34,44,B,8,English,88,912
1919,32.72,42,E,2,English,73,920
1925,31.09,45,F,1,English,64,926
1927,31.09,53,F,1,English,60,928
1930,38.34,40,B,8,English,93,931
1933,36.19,38,C,6,English,85,934
1935,34.24,42,D,4,English,76,936
1939,38.34,42,B,8,English,93,940
1943,31.09,40,F,1,English,63,944
1944,38.34,49,B,8,English,89,945
1950,38.34,43,B,8,English,89,951
1951,31.09,41,F,1,English,64,952
1954,36.19,42,C,6,English,83,955
1960,38.34,50,B,8,English,94,961
1961,38.34,48,B,8,English,89,962
1971,32.72,44,E,2,English,69,972
1972,34.24,45,D,4,English,77,973
1974,31.09,43,F,1,English,61,975
1980,34.24,40,D,4,English,75,981
1987,36.19,44,C,6,English,87,988
1995,36.19,49,C,6,English,85,996
2004,38.34,52,B,8,Spanish,94,5
2007,36.19,42,C,6,Spanish,81,8
2010,36.19,45,C,6,Spanish,83,11
2015,38.34,54,B,8,Spanish,94,16
2021,38.34,43,B,8,Spanish,88,22
2022,34.24,52,D,4,Spanish,75,23
2023,34.24,46,D,4,Spanish,75,24
2024,36.19,47,C,6,Spanish,83,25
2034,36.19,52,C,6,Spanish,82,35
2043,38.34,41,B,8,Spanish,89,44
2046,31.09,41,F,1,Spanish,66,47
2048,32.72,39,E,2,Spanish,72,49
2050,38.34,46,B,8,Spanish,88,51
2053,32.72,44,E,2,Spanish,68,54
2054,31.09,45,F,1,Spanish,63,55
2055,38.34,55,B,8,Spanish,94,56
2056,34.24,48,D,4,Spanish,80,57
2057,36.19,44,C,6,Spanish,84,58
2062,31.09,49,F,1,Spanish,65,63
2064,34.24,56,D,4,Spanish,76,65
2079,38.34,52,B,8,Spanish,92,80
2083,36.19,49,C,6,Spanish,82,84
2085,38.34,40,B,8,Spanish,94,86
2088,38.34,47,B,8,Spanish,94,89
2089,32.72,41,E,2,Spanish,70,90
2095,32.72,45,E,2,Spanish,72,96
2099,34.24,42,D,4,Spanish,76,100
2100,32.72,42,E,2,Spanish,72,101
2101,36.19,46,C,6,Spanish,84,102
2118,34.24,41,D,4,Spanish,79,119
2129,36.19,52,C,6,Spanish,84,130
2140,31.09,44,F,1,Spanish,63,141
2145,38.34,44,B,8,Spanish,88,146
2146,36.19,44,C,6,Spanish,85,147
2150,34.24,48,D,4,Spanish,76,151
2158,38.34,49,B,8,Spanish,93,159
2160,31.09,46,F,1,Spanish,62,161
2161,38.34,38,B,8,Spanish,94,162
2168,36.19,47,C,6,Spanish,85,169
2175,38.34,43,B,8,Spanish,91,176
2179,36.19,48,C,6,Spanish,85,180
2187,36.19,43,C,6,Spanish,86,188
2193,32.72,44,E,2,Spanish,72,194
2195,38.34,39,B,8,Spanish,93,196
2196,34.24,51,D,4,Spanish,77,197
2197,38.34,42,B,8,Spanish,94,198
2200,32.72,44,E,2,Spanish,73,201
2202,38.34,56,B,8,Spanish,91,203
2205,36.19,40,C,6,Spanish,85,206
2208,32.72,43,E,2,Spanish,70,209
2224,36.19,43,C,6,Spanish,84,225
2226,38.34,44,B,8,Spanish,88,227
2228,32.72,39,E,2,Spanish,72,229
2234,36.19,44,C,6,Spanish,81,235
2237,38.34,44,B,8,Spanish,93,238
2239,32.72,43,E,2,Spanish,73,240
2242,38.34,42,B,8,Spanish,93,243
2251,38.34,43,B,8,Spanish,92,252
2258,34.24,49,D,4,Spanish,78,259
2261,31.09,43,F,1,Spanish,67,262
2262,34.24,43,D,4,Spanish,75,263
2265,38.34,46,B,8,Spanish,93,266
2266,38.34,48,B,8,Spanish,94,267
2279,31.09,41,F,1,Spanish,65,280
2281,32.72,46,E,2,Spanish,69,282
2284,31.09,43,F,1,Spanish,60,285
2288,38.34,50,B,8,Spanish,91,289
2293,34.24,41,D,4,Spanish,79,294
2294,32.72,44,E,2,Spanish,72,295
2301,38.34,43,B,8,Spanish,92,302
2302,36.19,44,C,6,Spanish,81,303
2306,38.34,50,B,8,Spanish,89,307
2311,36.19,38,C,6,Spanish,87,312
2312,36.19,48,C,6,Spanish,86,313
2313,31.09,45,F,1,Spanish,67,314
2317,36.19,42,C,6,Spanish,84,318
2320,36.19,52,C,6,Spanish,81,321
2321,36.19,40,C,6,Spanish,83,322
2322,34.24,44,D,4,Spanish,77,323
2325,38.34,47,B,8,Spanish,92,326
2336,36.19,47,C,6,Spanish,86,337
2338,36.19,44,C,6,Spanish,87,339
2352,34.24,42,D,4,Spanish,74,353
2357,31.09,48,F,1,Spanish,60,358
2367,38.34,41,B,8,Spanish,88,368
2376,38.34,49,B,8,Spanish,91,377
2381,38.34,56,B,8,Spanish,90,382
2391,34.24,43,D,4,Spanish,77,392
2396,34.24,48,D,4,Spanish,74,397
2410,36.19,42,C,6,Spanish,83,411
2433,34.24,43,D,4,Spanish,75,434
2434,38.34,45,B,8,Spanish,94,435
2438,34.24,41,D,4,Spanish,80,439
2445,36.19,44,C,6,Spanish,85,446
2464,32.72,44,E,2,Spanish,71,465
2465,36.19,48,C,6,Spanish,84,466
2474,32.72,44,E,2,Spanish,71,475
2476,34.24,41,D,4,Spanish,77,477
2492,38.34,43,B,8,Spanish,94,493
2497,38.34,40,B,8,Spanish,88,498
2501,36.19,44,C,6,Spanish,83,502
2503,31.09,47,F,1,Spanish,62,504
2509,36.19,40,C,6,Spanish,87,510
2510,36.19,41,C,6,Spanish,83,511
2514,32.72,50,E,2,Spanish,73,515
2522,38.34,42,B,8,Spanish,94,523
2528,36.19,41,C,6,Spanish,87,529
2529,38.34,43,B,8,Spanish,93,530
2531,31.09,44,F,1,Spanish,61,532
2532,38.34,46,B,8,Spanish,90,533
2537,38.34,42,B,8,Spanish,90,538
2538,36.19,48,C,6,Spanish,82,539
2540,38.34,43,B,8,Spanish,93,541
2543,36.19,53,C,6,Spanish,84,544
2545,36.19,44,C,6,Spanish,83,546
2546,38.34,43,B,8,Spanish,94,547
2549,38.34,48,B,8,Spanish,93,550
2550,36.19,52,C,6,Spanish,84,551
2557,34.24,48,D,4,Spanish,79,558
2559,36.19,40,C,6,Spanish,84,560
2564,34.24,42,D,4,Spanish,76,565
2571,36.19,42,C,6,Spanish,82,572
2576,38.34,40,B,8,Spanish,90,577
2577,38.34,48,B,8,Spanish,94,578
2580,32.72,48,E,2,Spanish,68,581
2581,32.72,46,E,2,Spanish,70,582
2584,36.19,41,C,6,Spanish,84,585
2590,34.24,38,D,4,Spanish,79,591
2596,38.34,42,B,8,Spanish,88,597
2598,38.34,46,B,8,Spanish,91,599
2600,34.24,46,D,4,Spanish,77,601
2601,36.19,42,C,6,Spanish,83,602
2604,38.34,44,B,8,Spanish,91,605
2607,32.72,45,E,2,Spanish,72,608
2619,36.19,40,C,6,Spanish,83,620
2623,36.19,55,C,6,Spanish,81,624
2624,38.34,37,B,8,Spanish,94,625
2625,34.24,50,D,4,Spanish,74,626
2626,36.19,44,C,6,Spanish,83,627
2633,36.19,46,C,6,Spanish,83,634
2638,38.34,43,B,8,Spanish,93,639
2642,38.34,42,B,8,Spanish,94,643
2644,38.34,44,B,8,Spanish,92,645
2647,38.34,39,B,8,Spanish,91,648
2649,36.19,44,C,6,Spanish,81,650
2650,32.72,40,E,2,Spanish,72,651
2653,34.24,47,D,4,Spanish,78,654
2656,36.19,44,C,6,Spanish,84,657
2658,38.34,43,B,8,Spanish,90,659
2668,34.24,50,D,4,Spanish,75,669
2671,36.19,44,C,6,Spanish,85,672
2676,36.19,44,C,6,Spanish,81,677
2679,36.19,48,C,6,Spanish,84,680
2686,38.34,54,B,8,Spanish,94,687
2693,34.24,39,D,4,Spanish,76,694
2701,36.19,50,C,6,Spanish,83,702
2704,34.24,41,D,4,Spanish,80,705
2714,38.34,46,B,8,Spanish,92,715
2717,38.34,39,B,8,Spanish,93,718
2719,31.09,42,F,1,Spanish,66,720
2720,38.34,42,B,8,Spanish,94,721
2724,34.24,42,D,4,Spanish,79,725
2727,36.19,41,C,6,Spanish,82,728
2734,38.34,39,B,8,Spanish,92,735
2735,38.34,42,B,8,Spanish,92,736
2739,38.34,45,B,8,Spanish,92,740
2741,36.19,42,C,6,Spanish,85,742
2753,38.34,44,B,8,Spanish,90,754
2759,32.72,43,E,2,Spanish,70,760
2763,38.34,58,B,8,Spanish,89,764
2768,31.09,42,F,1,Spanish,63,769
2776,34.24,42,D,4,Spanish,79,777
2781,34.24,46,D,4,Spanish,79,782
2783,38.34,42,B,8,Spanish,90,784
2790,38.34,43,B,8,Spanish,88,791
2801,36.19,40,C,6,Spanish,86,802
2802,34.24,52,D,4,Spanish,78,803
2807,38.34,58,B,8,Spanish,94,808
2815,31.09,43,F,1,Spanish,67,816
2822,36.19,43,C,6,Spanish,86,823
2828,34.24,41,D,4,Spanish,76,829
2830,32.72,43,E,2,Spanish,71,831
2832,34.24,48,D,4,Spanish,77,833
2836,38.34,52,B,8,Spanish,88,837
2837,36.19,39,C,6,Spanish,86,838
2838,34.24,58,D,4,Spanish,76,839
2840,36.19,45,C,6,Spanish,86,841
2843,31.09,48,F,1,Spanish,63,844
2844,32.72,46,E,2,Spanish,68,845
2849,34.24,39,D,4,Spanish,77,850
2854,38.34,52,B,8,Spanish,91,855
2860,38.34,39,B,8,Spanish,89,861
2862,36.19,50,C,6,Spanish,82,863
2863,31.09,44,F,1,Spanish,64,864
2864,31.09,45,F,1,Spanish,62,865
2867,36.19,43,C,6,Spanish,82,868
2869,32.72,42,E,2,Spanish,69,870
2870,38.34,48,B,8,Spanish,94,871
2882,32.72,38,E,2,Spanish,71,883
2886,38.34,54,B,8,Spanish,93,887
2889,36.19,40,C,6,Spanish,83,890
2890,36.19,52,C,6,Spanish,85,891
2896,31.09,43,F,1,Spanish,64,897
2900,36.19,41,C,6,Spanish,81,901
2903,32.72,46,E,2,Spanish,69,904
2910,34.24,48,D,4,Spanish,78,911
2913,32.72,52,E,2,Spanish,70,914
2919,36.19,42,C,6,Spanish,84,920
2921,34.24,38,D,4,Spanish,79,922
2923,38.34,42,B,8,Spanish,92,924
2925,36.19,45,C,6,Spanish,81,926
2927,38.34,53,B,8,Spanish,89,928
2931,36.19,49,C,6,Spanish,85,932
2933,36.19,38,C,6,Spanish,81,934
2939,38.34,42,B,8,Spanish,94,940
2943,34.24,40,D,4,Spanish,80,944
2944,32.72,49,E,2,Spanish,69,945
2950,38.34,43,B,8,Spanish,88,951
2960,36.19,50,C,6,Spanish,83,961
2971,32.72,44,E,2,Spanish,69,972
2972,31.09,45,F,1,Spanish,67,973
2974,38.34,43,B,8,Spanish,89,975
2980,34.24,40,D,4,Spanish,75,981
2981,36.19,52,C,6,Spanish,85,982
2984,38.34,47,B,8,Spanish,94,985
2987,32.72,44,E,2,Spanish,71,988
2995,36.19,49,C,6,Spanish,83,996
2996,36.19,54,C,6,Spanish,87,997
3003,38.34,44,B,8,Science,89,4
3011,36.19,52,C,6,Science,85,12
3013,32.72,45,E,2,Science,68,14
3015,36.19,54,C,6,Science,83,16
3016,38.34,42,B,8,Science,92,17
3021,38.34,43,B,8,Science,94,22
3022,38.34,52,B,8,Science,91,23
3024,38.34,47,B,8,Science,88,25
3042,36.19,48,C,6,Science,82,43
3048,36.19,39,C,6,Science,87,49
3054,32.72,45,E,2,Science,70,55
3055,38.34,55,B,8,Science,92,56
3056,38.34,48,B,8,Science,88,57
3057,36.19,44,C,6,Science,84,58
3064,38.34,56,B,8,Science,89,65
3079,38.34,52,B,8,Science,90,80
3083,34.24,49,D,4,Science,81,84
3085,38.34,40,B,8,Science,89,86
3088,36.19,47,C,6,Science,86,89
3089,38.34,41,B,8,Science,93,90
3098,32.72,44,E,2,Science,74,99
3099,38.34,42,B,8,Science,90,100
3100,34.24,42,D,4,Science,76,101
3101,36.19,46,C,6,Science,84,102
3104,36.19,41,C,6,Science,87,105
3129,34.24,52,D,4,Science,79,130
3140,31.09,44,F,1,Science,64,141
3144,34.24,50,D,4,Science,77,145
